Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,MP/Game,PTS/Game,TRB/Game,AST/Game
1,1,PHI,Markelle Fultz,University of Washington,1,4,76,24,9,7,19,6,2.3,1.8
1,2,LAL,Lonzo Ball,"University of California, Los Angeles",1,36,1222,367,257,255,33.9,10.2,7.1,7.1
1,3,BOS,Jayson Tatum,Duke University,1,58,1796,787,298,81,31,13.6,5.1,1.4
1,4,PHO,Josh Jackson,University of Kansas,1,56,1305,617,227,67,23.3,11,4.1,1.2
1,5,SAC,De'Aaron Fox,University of Kentucky,1,48,1303,543,126,204,27.1,11.3,2.6,4.3
1,6,ORL,Jonathan Isaac,Florida State University,1,15,285,79,56,11,19,5.3,3.7,0.7
1,7,MIN,Lauri Markkanen,University of Arizona,1,50,1518,766,386,64,30.4,15.3,7.7,1.3
1,8,NYK,Frank Ntilikina,,1,55,1114,288,114,177,20.3,5.2,2.1,3.2
1,9,DAL,Dennis Smith,North Carolina State University,1,49,1437,725,191,243,29.3,14.8,3.9,5
1,10,SAC,Zach Collins,Gonzaga University,1,41,632,163,136,33,15.4,4,3.3,0.8
1,11,CHO,Malik Monk,University of Kentucky,1,40,485,198,34,47,12.1,5,0.9,1.2
1,12,DET,Luke Kennard,Duke University,1,49,913,334,104,72,18.6,6.8,2.1,1.5
1,13,DEN,Donovan Mitchell,University of Louisville,1,54,1728,1052,188,185,32,19.5,3.5,3.4
1,14,MIA,Bam Adebayo,University of Kentucky,1,47,966,343,253,77,20.6,7.3,5.4,1.6
1,15,POR,Justin Jackson,University of North Carolina,1,41,771,237,94,33,18.8,5.8,2.3,0.8
1,16,CHI,Justin Patton,Creighton University,,,,,,,,,,
1,17,MIL,D.J. Wilson,University of Michigan,1,18,60,16,7,2,3.3,0.9,0.4,0.1
1,18,IND,T.J. Leaf,"University of California, Los Angeles",1,42,398,131,67,8,9.5,3.1,1.6,0.2
1,19,ATL,John Collins,Wake Forest University,1,51,1130,525,355,52,22.2,10.3,7,1
1,20,POR,Harry Giles,Duke University,,,,,,,,,,
1,21,OKC,Terrance Ferguson,,1,42,526,115,35,11,12.5,2.7,0.8,0.3
1,22,BRK,Jarrett Allen,University of Texas at Austin,1,49,892,370,247,31,18.2,7.6,5,0.6
1,23,TOR,OG Anunoby,Indiana University,1,55,1156,328,135,45,21,6,2.5,0.8
1,24,UTA,Tyler Lydon,Syracuse University,1,1,2,0,0,0,2,0,0,0
1,25,ORL,Anzejs Pasecniks,,,,,,,,,,,
1,26,POR,Caleb Swanigan,Purdue University,1,17,139,41,37,9,8.2,2.4,2.2,0.5
1,27,BRK,Kyle Kuzma,University of Utah,1,54,1609,846,321,98,29.8,15.7,5.9,1.8
1,28,LAL,Tony Bradley,University of North Carolina,1,8,28,8,11,1,3.5,1,1.4,0.1
1,29,SAS,Derrick White,University of Colorado,1,15,117,38,22,8,7.8,2.5,1.5,0.5
1,30,UTA,Josh Hart,Villanova University,1,50,1028,305,178,56,20.6,6.1,3.6,1.1
